date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
23:20:18	135/135	---MCZ	404	error ('Not%20Found')	text/html	date:Mon,%2009%20Jan%202017%2017:50:20%20GMT	http://envato.megadrupal.com/robots.txt		(from )
23:20:18	39640/39640	U-----	200	untouched ('OK')	text/html	date:Wed,%2002%20Dec%202015%2018:31:21%20GMT	http://envato.megadrupal.com/html/gofar/	C:/My%20Web%20Sites/myproject/envato.megadrupal.com/html/gofar/index.html	(from )
23:20:19	22006/22006	U-----	200	untouched ('OK')	text/css	date:Fri,%2007%20Aug%202015%2009:33:10%20GMT	http://envato.megadrupal.com/html/gofar/css/lib/font-awesome.min.css	C:/My%20Web%20Sites/myproject/envato.megadrupal.com/html/gofar/css/lib/font-awesome.min.css	(from http://envato.megadrupal.com/html/gofar/)
23:20:19	109518/109518	U-----	200	untouched ('OK')	text/css	date:Fri,%2007%20Aug%202015%2009:33:09%20GMT	http://envato.megadrupal.com/html/gofar/css/lib/bootstrap.min.css	C:/My%20Web%20Sites/myproject/envato.megadrupal.com/html/gofar/css/lib/bootstrap.min.css	(from http://envato.megadrupal.com/html/gofar/)
23:20:19	3244/3244	U-----	200	untouched ('OK')	text/css	date:Fri,%2007%20Aug%202015%2009:33:09%20GMT	http://envato.megadrupal.com/html/gofar/css/lib/awe-booking-font.css	C:/My%20Web%20Sites/myproject/envato.megadrupal.com/html/gofar/css/lib/awe-booking-font.css	(from http://envato.megadrupal.com/html/gofar/)
23:20:19	7750/7750	U-----	200	untouched ('OK')	text/css	date:Fri,%2007%20Aug%202015%2009:33:11%20GMT	http://envato.megadrupal.com/html/gofar/css/lib/owl.carousel.css	C:/My%20Web%20Sites/myproject/envato.megadrupal.com/html/gofar/css/lib/owl.carousel.css	(from http://envato.megadrupal.com/html/gofar/)
23:20:20	7782/7782	U-----	200	untouched ('OK')	text/css	date:Fri,%2007%20Aug%202015%2009:33:11%20GMT	http://envato.megadrupal.com/html/gofar/css/lib/magnific-popup.css	C:/My%20Web%20Sites/myproject/envato.megadrupal.com/html/gofar/css/lib/magnific-popup.css	(from http://envato.megadrupal.com/html/gofar/)
23:20:20	169/169	---MCZ	404	error ('Not%20Found')	text/html	date:Mon,%2009%20Jan%202017%2017:50:22%20GMT	http://envato.megadrupal.com/html/gofar/css/fonts/glyphicons-halflings-regular.eot	C:/My%20Web%20Sites/myproject/envato.megadrupal.com/html/gofar/css/fonts/glyphicons-halflings-regular.eot	(from http://envato.megadrupal.com/html/gofar/css/lib/bootstrap.min.css)
23:20:20	35212/35212	U-----	200	untouched ('OK')	text/css	date:Fri,%2007%20Aug%202015%2009:33:10%20GMT	http://envato.megadrupal.com/html/gofar/css/lib/jquery-ui.css	C:/My%20Web%20Sites/myproject/envato.megadrupal.com/html/gofar/css/lib/jquery-ui.css	(from http://envato.megadrupal.com/html/gofar/)
23:20:20	55176/55176	U-----	200	untouched ('OK')	text/css	date:Fri,%2007%20Aug%202015%2009:34:32%20GMT	http://envato.megadrupal.com/html/gofar/revslider-demo/css/settings.css	C:/My%20Web%20Sites/myproject/envato.megadrupal.com/html/gofar/revslider-demo/css/settings.css	(from http://envato.megadrupal.com/html/gofar/)
