date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
21:26:00	39640/39640	---MCZ	200	added ('OK')	text/html	date:Wed,%2002%20Dec%202015%2018:31:21%20GMT	http://envato.megadrupal.com/html/gofar/	C:/My%20Web%20Sites/myproject/envato.megadrupal.com/html/gofar/index.html	(from )
21:26:02	135/135	---MCZ	404	error ('Not%20Found')	text/html	date:Mon,%2009%20Jan%202017%2015:56:02%20GMT	http://envato.megadrupal.com/robots.txt		(from )
21:26:04	109518/109518	---MCZ	200	added ('OK')	text/css	date:Fri,%2007%20Aug%202015%2009:33:09%20GMT	http://envato.megadrupal.com/html/gofar/css/lib/bootstrap.min.css	C:/My%20Web%20Sites/myproject/envato.megadrupal.com/html/gofar/css/lib/bootstrap.min.css	(from http://envato.megadrupal.com/html/gofar/)
21:26:04	22006/22006	---MCZ	200	added ('OK')	text/css	date:Fri,%2007%20Aug%202015%2009:33:10%20GMT	http://envato.megadrupal.com/html/gofar/css/lib/font-awesome.min.css	C:/My%20Web%20Sites/myproject/envato.megadrupal.com/html/gofar/css/lib/font-awesome.min.css	(from http://envato.megadrupal.com/html/gofar/)
21:26:05	3244/3244	---MCZ	200	added ('OK')	text/css	date:Fri,%2007%20Aug%202015%2009:33:09%20GMT	http://envato.megadrupal.com/html/gofar/css/lib/awe-booking-font.css	C:/My%20Web%20Sites/myproject/envato.megadrupal.com/html/gofar/css/lib/awe-booking-font.css	(from http://envato.megadrupal.com/html/gofar/)
21:26:06	7750/7750	---MCZ	200	added ('OK')	text/css	date:Fri,%2007%20Aug%202015%2009:33:11%20GMT	http://envato.megadrupal.com/html/gofar/css/lib/owl.carousel.css	C:/My%20Web%20Sites/myproject/envato.megadrupal.com/html/gofar/css/lib/owl.carousel.css	(from http://envato.megadrupal.com/html/gofar/)
21:26:07	7782/7782	---MCZ	200	added ('OK')	text/css	date:Fri,%2007%20Aug%202015%2009:33:11%20GMT	http://envato.megadrupal.com/html/gofar/css/lib/magnific-popup.css	C:/My%20Web%20Sites/myproject/envato.megadrupal.com/html/gofar/css/lib/magnific-popup.css	(from http://envato.megadrupal.com/html/gofar/)
21:26:08	35212/35212	---MCZ	200	added ('OK')	text/css	date:Fri,%2007%20Aug%202015%2009:33:10%20GMT	http://envato.megadrupal.com/html/gofar/css/lib/jquery-ui.css	C:/My%20Web%20Sites/myproject/envato.megadrupal.com/html/gofar/css/lib/jquery-ui.css	(from http://envato.megadrupal.com/html/gofar/)
21:26:10	55176/55176	---MCZ	200	added ('OK')	text/css	date:Fri,%2007%20Aug%202015%2009:34:32%20GMT	http://envato.megadrupal.com/html/gofar/revslider-demo/css/settings.css	C:/My%20Web%20Sites/myproject/envato.megadrupal.com/html/gofar/revslider-demo/css/settings.css	(from http://envato.megadrupal.com/html/gofar/)
21:26:12	212147/212147	---MCZ	200	added ('OK')	text/css	date:Mon,%2017%20Aug%202015%2002:56:46%20GMT	http://envato.megadrupal.com/html/gofar/css/style.css	C:/My%20Web%20Sites/myproject/envato.megadrupal.com/html/gofar/css/style.css	(from http://envato.megadrupal.com/html/gofar/)
21:26:13	957/957	---MCZ	200	added ('OK')	text/css	date:Fri,%2007%20Aug%202015%2009:32:52%20GMT	http://envato.megadrupal.com/html/gofar/css/demo.css	C:/My%20Web%20Sites/myproject/envato.megadrupal.com/html/gofar/css/demo.css	(from http://envato.megadrupal.com/html/gofar/)
21:26:14	18362/18362	---MCZ	200	added ('OK')	text/css	date:Fri,%2007%20Aug%202015%2009:32:56%20GMT	http://envato.megadrupal.com/html/gofar/css/colors/blue.css	C:/My%20Web%20Sites/myproject/envato.megadrupal.com/html/gofar/css/colors/blue.css	(from http://envato.megadrupal.com/html/gofar/)
21:26:15	9524/9524	---M-Z	200	added ('OK')	application/x-javascript	etag:%22a83d802a30afe8089062f0bed0f117fc%22	http://connect.facebook.net/en_US/fbevents.js	C:/My%20Web%20Sites/myproject/connect.facebook.net/en_US/fbevents.js	(from http://envato.megadrupal.com/html/gofar/)
21:26:19	39640/39640	---MCZ	200	added ('OK')	text/html	date:Wed,%2002%20Dec%202015%2018:31:21%20GMT	http://envato.megadrupal.com/html/gofar/index.html	C:/My%20Web%20Sites/myproject/envato.megadrupal.com/html/gofar/index-2.html	(from http://envato.megadrupal.com/html/gofar/)
21:26:19	1411/1411	---M--	200	added ('OK')	image/png	date:Fri,%2007%20Aug%202015%2009:33:15%20GMT	http://envato.megadrupal.com/html/gofar/images/logo.png	C:/My%20Web%20Sites/myproject/envato.megadrupal.com/html/gofar/images/logo.png	(from http://envato.megadrupal.com/html/gofar/)
